Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
1685893500000,1903.770000,1904.500000,1901.530000,1901.760000,1788.701200,1685894399999,3404461.282731,2898,832.030900,1583570.153900,0
1685894400000,1901.760000,1902.260000,1898.000000,1899.670000,3983.645700,1685895299999,7568880.336326,4855,1200.318800,2280468.935259,0
1685895300000,1899.660000,1900.790000,1896.170000,1897.770000,2427.476800,1685896199999,4608521.345345,3817,1249.337300,2371772.581965,0
1685896200000,1897.760000,1898.780000,1896.970000,1897.990000,1052.084900,1685897099999,1996891.295768,2557,599.474600,1137795.185218,0
1685897100000,1897.990000,1898.880000,1897.240000,1897.600000,837.529800,1685897999999,1589774.001754,2441,342.005500,649167.073463,0
1685898000000,1897.600000,1900.100000,1897.110000,1899.070000,1285.874300,1685898899999,2441563.470898,2778,518.918000,985259.788345,0
1685898900000,1899.060000,1899.510000,1898.460000,1899.510000,674.844100,1685899799999,1281559.320853,1852,195.808900,371850.304812,0
1685899800000,1899.500000,1899.760000,1899.000000,1899.300000,1466.404500,1685900699999,2785004.672307,2535,514.815300,977771.114508,0
1685900700000,1899.300000,1899.630000,1899.000000,1899.000000,1170.737000,1685901599999,2223360.516084,2110,363.222800,689826.437447,0
1685901600000,1899.010000,1903.930000,1899.000000,1903.050000,2783.209600,1685902499999,5289728.729615,3257,1793.820100,3409140.750476,0
1685902500000,1903.050000,1903.570000,1901.780000,1903.160000,1006.973600,1685903399999,1916222.325806,2226,500.512200,952418.013976,0
1685903400000,1903.160000,1903.280000,1901.830000,1901.830000,703.396500,1685904299999,1338167.929146,2220,223.834200,425807.776186,0
1685904300000,1901.830000,1903.160000,1901.500000,1903.160000,649.129100,1685905199999,1234744.570864,1833,442.653000,842016.129870,0
1685905200000,1903.160000,1904.190000,1902.620000,1903.450000,949.055200,1685906099999,1806613.398603,2248,474.376600,902990.614138,0
1685906100000,1903.460000,1905.620000,1903.110000,1904.650000,926.410200,1685906999999,1764388.360303,2309,488.620200,930553.332601,0
1685907000000,1904.650000,1905.120000,1903.500000,1904.490000,528.995300,1685907899999,1007378.377475,1966,213.257300,406079.151793,0
1685907900000,1904.500000,1904.860000,1902.960000,1904.660000,651.778500,1685908799999,1240929.984640,1751,202.490600,385511.851461,0
1685908800000,1904.660000,1905.480000,1904.490000,1905.260000,812.570600,1685909699999,1547869.122150,2012,462.522200,881025.216795,0
1685909700000,1905.260000,1905.550000,1903.960000,1904.870000,900.153500,1685910599999,1714800.162929,1864,390.090300,743117.850704,0
1685910600000,1904.880000,1904.950000,1903.870000,1904.580000,712.796300,1685911499999,1357438.196479,1982,263.395200,501579.977918,0
1685911500000,1904.580000,1905.910000,1903.790000,1904.390000,765.380500,1685912399999,1458082.971077,2137,351.074200,668777.834894,0
1685912400000,1904.380000,1906.790000,1903.640000,1906.130000,1352.963600,1685913299999,2578024.609105,2993,825.728300,1573458.203246,0
1685913300000,1906.120000,1906.570000,1905.250000,1905.260000,1571.625400,1685914199999,2995079.086182,2619,716.733500,1365864.056077,0
1685914200000,1905.250000,1905.260000,1901.930000,1901.930000,1293.273900,1685915099999,2461258.503518,3052,387.650700,737592.302448,0
1685915100000,1901.940000,1902.010000,1901.210000,1902.000000,433.976300,1685915999999,825275.373447,1627,299.581600,569692.162868,0
1685916000000,1902.010000,1906.130000,1901.500000,1906.130000,1874.820800,1685916899999,3569108.417106,2780,1052.998300,2004707.015179,0
1685916900000,1906.130000,1912.890000,1899.740000,1901.820000,14542.522900,1685917799999,27747370.532297,12307,6880.283100,13124419.751973,0
1685917800000,1901.820000,1906.460000,1899.090000,1905.730000,5139.681300,1685918699999,9778135.368344,5529,3145.575700,5984281.859403,0
1685918700000,1905.730000,1907.020000,1901.340000,1901.610000,3267.805700,1685919599999,6223806.558866,3788,1906.105200,3630557.700523,0
1685919600000,1901.610000,1904.370000,1901.020000,1902.990000,2679.990800,1685920499999,5099201.422276,3230,1688.465900,3212282.471950,0
1685920500000,1902.990000,1903.000000,1887.270000,1887.420000,10594.858900,1685921399999,20046320.187104,12902,5138.007400,9719617.928268,0
1685921400000,1887.430000,1892.350000,1886.140000,1892.350000,5658.494500,1685922299999,10696041.294762,6354,2986.934700,5645861.396300,0
1685922300000,1892.340000,1892.350000,1885.000000,1890.010000,4701.027300,1685923199999,8877623.499370,5891,2371.036500,4477850.829922,0
1685750400000,1906.690000,1907.080000,1905.240000,1906.980000,3550.427500,1685751299999,6768004.189361,5195,1987.486900,3788665.086825,0
1685751300000,1906.980000,1907.920000,1906.050000,1907.540000,2577.585000,1685752199999,4915571.813391,5015,1206.671300,2301218.577828,0
1685752200000,1907.540000,1907.540000,1903.580000,1904.290000,1769.833500,1685753099999,3373207.520674,4167,693.608000,1322242.360754,0
1685753100000,1904.300000,1905.210000,1902.320000,1903.290000,2374.896800,1685753999999,4521676.902585,4456,1164.893000,2217676.934702,0
1685754000000,1903.300000,1905.450000,1902.500000,1905.440000,2788.360500,1685754899999,5308470.388850,2866,2038.330200,3880496.104595,0
1685754900000,1905.440000,1905.510000,1902.200000,1902.820000,1967.462600,1685755799999,3746658.299570,2774,886.064600,1687362.040041,0
1685755800000,1902.820000,1902.910000,1897.420000,1899.490000,3705.458000,1685756699999,7041642.624536,4360,1858.681700,3531934.852537,0
1685756700000,1899.490000,1901.400000,1897.470000,1900.120000,2642.594700,1685757599999,5019311.083941,2886,1497.624900,2844707.413781,0
1685757600000,1900.110000,1901.810000,1900.110000,1901.690000,961.570100,1685758499999,1828300.074942,1997,492.099300,935583.135428,0
1685758500000,1901.700000,1901.700000,1900.520000,1900.610000,823.818200,1685759399999,1566173.046588,2027,340.839100,647937.708714,0
1685759400000,1900.610000,1900.890000,1899.240000,1899.700000,734.946900,1685760299999,1396480.045214,1939,417.107500,792551.646868,0
1685760300000,1899.690000,1899.880000,1899.300000,1899.320000,656.868300,1685761199999,1247751.293456,1837,346.008100,657240.659946,0
1685761200000,1899.320000,1901.670000,1899.060000,1901.410000,1390.745500,1685762099999,2643006.685401,2613,919.343300,1747024.918384,0
1685762100000,1901.420000,1901.420000,1899.130000,1899.390000,842.170700,1685762999999,1600374.751606,2298,241.601900,459031.725586,0
1685763000000,1899.390000,1900.390000,1899.020000,1900.000000,2156.486700,1685763899999,4096719.467076,2256,1059.945600,2013624.648076,0
1685763900000,1900.000000,1900.010000,1899.590000,1899.840000,520.500200,1685764799999,988839.167883,1593,187.852000,356872.211612,0
1685764800000,1899.840000,1900.280000,1897.780000,1898.860000,1545.203200,1685765699999,2933829.054471,2427,669.693500,1271611.592198,0
